130 932207 61937 24 352
131 931163 62880 26 358
132 930108 63832 27 386
133 929049 64778 28 401
134 927979 65764 26 399
135 926890 66747 23 409
136 925818 67742 20 387
137 924721 68744 19 371
138 923633 69715 24 397
139 922529 70728 25 378
140 921402 71764 25 389
141 920270 72804 21 389
142 919142 73834 22 374
143 917996 74887 23 376
144 916862 75906 26 397
145 915682 76983 30 400
146 914545 78022 29 402
147 913363 79100 26 417
148 912212 80140 22 420
149 911012 81250 21 412
150 909819 82344 25 408
151 908616 83445 30 398
152 907390 84587 33 364
153 906175 85694 30 384
154 904957 86816 21 394
155 903717 87943 24 407
156 902447 89111 27 425
157 901214 90224 29 432
158 899942 91379 24 449
159 898708 92505 22 449
160 897414 93691 23 457
161 896147 94844 32 444
162 894838 96033 35 439
163 893519 97231 36 449
164 892227 98394 32 475
165 890895 99623 28 477
166 889600 100810 31 465
167 888257 102046 36 447
168 886937 103237 37 442
169 885556 104528 27 435
170 884227 105743 27 444
171 882858 106983 30 468
172 881491 108230 31 459
173 880099 109480 33 499
174 878682 110775 38 502
175 877311 112040 31 489
176 875907 113326 21 498
177 874497 114604 20 491
178 873087 115891 21 496
179 871657 117192 21 512
180 870226 118483 21 524
181 868787 119780 24 530
182 867319 121128 30 522
183 865854 122459 34 523
184 864390 123798 29 513
185 862925 125142 23 501
186 861460 126456 26 535
187 859967 127812 28 540
188 858440 129185 35 557
189 856958 130538 36 558
190 855425 131917 42 558
191 853898 133328 35 546
192 852372 134723 35 530
193 850850 136131 32 519
194 849284 137559 29 512
195 847763 138945 26 527
196 846170 140398 35 527
197 844608 141844 39 522
198 843027 143304 43 498
199 841450 144751 49 484
200 839826 146251 36 490
201 838247 147677 32 535
202 836617 149160 26 571
203 834990 150649 29 582
204 833398 152090 27 598
205 831770 153583 31 572
206 830103 155105 36 559
207 828446 156611 39 572
208 826779 158129 43 564
209 825111 159678 32 563
210 823426 161204 34 580
211 821742 162702 32 620
212 820042 164267 26 616
213 818367 165804 33 617
214 816666 167366 33 599
215 814911 168956 35 574
216 813207 170526 29 573
217 811493 172088 31 592
218 809724 173715 31 595
219 807990 175312 31 569
220 806242 176902 36 582
221 804467 178531 32 582
222 802718 180111 27 614
223 800930 181716 29 658
224 799152 183332 31 665
225 797343 184980 34 673
226 795552 186598 41 665
227 793733 188270 36 636
228 791894 189941 35 645
229 790088 191578 35 656
230 788269 193237 34 651
231 786414 194911 38 676
232 784556 196605 40 669
233 782680 198298 47 676
234 780835 199960 43 702
235 778976 201663 41 683
236 777094 203355 50 702
237 775186 205095 53 691
238 773285 206803 52 698
239 771389 208524 45 722
240 769469 210289 49 692
241 767551 212032 45 706
242 765636 213800 44 660
243 763691 215572 31 664
244 761749 217339 31 688
245 759805 219106 34 683
246 757850 220855 40 735
247 755864 222698 41 691
248 753885 224505 40 689
249 751898 226292 41 714
250 749895 228110 41 699
251 747900 229937 42 724
252 745885 231781 41 723
253 743908 233561 48 714
254 741846 235425 56 719
255 739840 237255 52 732
256 737778 239131 47 751
257 735739 241006 45 727
258 733673 242906 42 706
259 731599 244793 45 710
260 729533 246667 41 715
261 727433 248590 44 723
262 725326 250479 48 768
263 723244 252392 48 753
264 721161 254305 45 730
265 719017 256266 47 737
266 716900 258206 41 706
267 714806 260106 42 730
268 712653 262111 47 700
269 710505 264060 45 720
270 708357 266015 46 729
271 706182 267986 40 746
272 704049 269931 32 799
273 701839 271955 30 786
274 699673 273938 34 773
275 697471 275957 45 735
276 695276 277981 47 708
277 693046 280018 51 709
278 690856 282000 54 735
279 688628 284053 48 744
280 686387 286109 56 752
281 684174 288115 59 767
282 681924 290192 46 748
283 679636 292278 55 760
284 677366 294329 62 795
285 675092 296398 53 805
286 672811 298497 48 806
287 670522 300573 48 826
288 668261 302618 44 834
289 665919 304778 51 795
290 663607 306896 55 798
291 661296 309006 57 784
292 658962 311157 52 752
293 656631 313297 57 763
294 654282 315437 53 786
295 651925 317590 48 796
296 649593 319695 63 820
297 647202 321863 59 861
298 644807 324067 56 842
299 642418 326261 62 822
300 640044 328429 60 818
301 637625 330640 63 796
302 635229 332818 60 823
303 632825 335014 58 844
304 630394 337240 57 842
305 627955 339464 57 852
306 625505 341693 63 846
307 623044 343939 61 853
308 620591 346181 48 871
309 618166 348375 46 889
310 615634 350684 42 901
311 613185 352901 43 915
312 610694 355194 47 885
313 608179 357476 50 882
314 605686 359751 55 868
315 603169 362046 59 855
316 600640 364357 55 883
317 598121 366643 58 883
318 595582 368970 55 885
319 593034 371290 48 902
320 590477 373623 55 897
321 587919 375955 56 892
322 585354 378297 47 909
323 582772 380643 49 908
324 580185 382985 55 930
325 577595 385362 53 920
326 575009 387748 56 885
327 572400 390092 56 916
328 569786 392473 43 923
329 567138 394889 43 940
330 564538 397239 49 987
331 561889 399633 54 972
332 559237 402052 52 961
333 556558 404500 61 951
334 553893 406920 65 948
335 551217 409342 63 954
336 548565 411764 62 950
337 545864 414248 56 951
338 543166 416659 57 996
339 540486 419100 55 981
340 537725 421589 58 1019
341 535007 424066 70 1025
342 532291 426539 61 991
343 529538 429050 64 989
344 526840 431545 59 928
345 524094 434085 58 906
346 521299 436661 61 870
347 518557 439163 61 871
348 515793 441697 67 887
349 512981 444273 78 905
350 510211 446813 71 926
351 507385 449413 70 913
352 504580 451970 72 935
353 501761 454531 65 975
354 498949 457094 67 985
355 496104 459684 77 1003
356 493270 462304 73 975
357 490419 464905 72 961
358 487555 467537 70 948
359 484714 470126 65 960
360 481816 472777 57 997
361 478922 475437 57 980
362 476024 478071 66 1001
363 473127 480679 77 1022
364 470260 483284 66 1040
365 467328 486015 55 1018
366 464427 488634 61 1039
367 461466 491312 57 1048
368 458549 493982 55 1024
369 455602 496668 61 1067
370 452631 499392 68 1031
371 449683 502091 70 991
372 446709 504832 57 988
373 443746 507519 54 1012
