130 932240 61720 28 362
131 931202 62677 25 354
132 930139 63629 26 378
133 929092 64593 20 377
134 928025 65575 16 372
135 926954 66552 18 380
136 925858 67539 24 373
137 924770 68544 24 367
138 923676 69538 26 376
139 922555 70573 26 370
140 921454 71580 23 364
141 920315 72607 25 391
142 919192 73622 24 402
143 918059 74640 27 428
144 916907 75689 27 434
145 915751 76737 29 430
146 914599 77781 29 429
147 913397 78870 31 428
148 912227 79942 31 423
149 911053 81018 30 416
150 909832 82132 33 412
151 908645 83209 25 419
152 907445 84292 21 442
153 906207 85398 24 472
154 905000 86492 23 482
155 903764 87616 27 472
156 902517 88764 30 447
157 901263 89896 33 437
158 900013 91046 29 427
159 898728 92200 34 445
160 897457 93362 29 463
161 896178 94522 32 460
162 894872 95701 35 480
163 893572 96882 36 472
164 892286 98050 38 474
165 890961 99260 33 478
166 889630 100474 34 470
167 888293 101691 32 474
168 886966 102909 28 471
169 885614 104130 28 482
170 884261 105364 30 483
171 882899 106608 31 478
172 881529 107856 31 487
173 880134 109128 35 475
174 878759 110400 27 469
175 877368 111684 19 467
176 875984 112937 22 473
177 874572 114213 28 484
178 873163 115493 32 498
179 871724 116818 36 493
180 870294 118129 33 487
181 868825 119466 33 489
182 867393 120768 32 495
183 865936 122084 31 527
184 864461 123407 34 554
185 862984 124768 37 535
186 861480 126154 39 520
187 860032 127486 35 498
188 858521 128867 34 480
189 856996 130248 36 509
190 855493 131638 31 511
191 853958 133051 29 515
192 852413 134467 26 516
193 850905 135846 29 500
194 849349 137254 37 522
195 847795 138661 40 542
196 846243 140075 43 545
197 844634 141571 32 543
198 843086 142980 30 544
199 841501 144431 27 537
200 839895 145907 26 533
201 838287 147375 30 545
202 836706 148804 34 552
203 835087 150284 38 550
204 833460 151742 49 577
205 831823 153245 45 579
206 830169 154774 45 556
207 828545 156264 40 560
208 826882 157780 34 555
209 825203 159328 45 537
210 823522 160868 43 555
211 821852 162409 43 545
212 820154 163964 38 540
213 818457 165530 31 558
214 816750 167099 30 554
215 815041 168673 33 557
216 813310 170239 37 570
217 811567 171831 39 581
218 809856 173369 40 614
219 808082 174986 37 642
220 806319 176587 42 638
221 804594 178163 44 636
222 802807 179797 39 622
223 801037 181405 41 622
224 799245 183030 41 632
225 797459 184663 35 644
226 795657 186297 40 649
227 793849 187947 43 644
228 792040 189569 48 659
229 790231 191234 42 650
230 788371 192925 46 652
231 786541 194602 47 649
232 784690 196273 49 645
233 782821 197980 49 657
234 780962 199677 51 652
235 779090 201399 46 655
236 777211 203122 43 636
237 775306 204866 42 636
238 773408 206591 42 649
239 771507 208330 46 652
240 769616 210057 46 657
241 767669 211866 45 634
242 765761 213617 36 627
243 763804 215412 44 623
244 761858 217183 36 642
245 759907 218959 34 680
246 757942 220747 31 694
247 755986 222514 36 724
248 754013 224312 53 699
249 752031 226128 56 685
250 750056 227945 55 664
251 748027 229810 50 649
252 746022 231637 40 679
253 744011 233451 35 718
254 741990 235264 38 764
255 739945 237133 40 769
256 737889 239007 47 756
257 735848 240876 46 727
258 733791 242751 47 703
259 731711 244642 49 716
260 729654 246535 48 706
261 727594 248399 53 724
262 725486 250322 50 731
263 723388 252238 49 727
264 721289 254152 53 743
265 719159 256098 45 744
266 717041 258048 49 720
267 714916 259997 51 711
268 712792 261936 49 717
269 710635 263905 54 708
270 708493 265870 53 722
271 706327 267844 57 736
272 704147 269834 55 741
273 701972 271822 53 747
274 699789 273811 44 772
275 697590 275848 44 746
276 695363 277902 44 727
277 693203 279878 42 724
278 690979 281879 52 734
279 688729 283927 52 774
280 686500 285985 47 777
281 684262 288027 49 785
282 682006 290085 47 772
283 679754 292116 61 777
284 677508 294168 51 805
285 675215 296243 64 816
286 672945 298333 60 800
287 670634 300441 57 799
288 668354 302525 51 797
289 666065 304630 43 784
290 663726 306753 43 816
291 661416 308859 54 803
292 659065 311008 48 809
293 656769 313092 52 825
294 654377 315292 53 800
295 652056 317428 54 791
296 649669 319616 54 782
297 647333 321734 54 792
298 644957 323880 55 830
299 642590 326034 51 863
300 640170 328266 56 847
301 637755 330463 60 843
302 635366 332647 55 824
303 632944 334863 53 815
304 630510 337084 52 846
305 628081 339283 50 864
306 625640 341513 45 870
307 623198 343733 51 878
308 620743 345984 57 862
309 618284 348227 56 847
310 615764 350515 61 858
